As a user, I can quit the program. (exit)                                                                    | Done    |
As a user, I can copy a directory and all its contents to a specified directory so that a copy of the        | 2 days  |
directory exists in my desired location. (cp)                                                                |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can add a file from a specified URL in my current working directory so that I can easily        | 3 days  |
access a file from the Internet in my working directory. (curl)                                              |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can save all the contents of the JShell file system to a file on my computers File System       | 3 days  |
so that I can easily access my JShell file system. (save)                                                    |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can save the state of all commands from my current session to a file on my computers File       | 3 days  |
System so that I can easily access the current state when needed. (save)                                     |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can retrieve the previous state of the file system at the beginning of the session so that I    | 2 days  |
can resume working where I left off. (load)      			                                     |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can start from where I left off from a previous session, at the beginning of the current        | 3 days  |
session, so that I can resume working where I left off. (load) 		                                     |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can search for a file in the directory/directories that I specify so that I can know if it      | 2 days  |
exists in the specified locations. (find)                                                                    |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can search for a directory in the directory/directories that I specify so that I can know of    | 2 days  |
all existing directories with that name. (find)                                                              |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can see all contents of my root directory (including files, directories and their contents)     | 2 days  |
 as a tree so that I can see all the contents of my file system and the relationships between them. (tree)   |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can append all information output by a command in an existing file instead of seeing the        | 2 days  |
result in Shell, so that the information is saved in a desired file.                                         |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can overwrite all contents of an existing file with the information returned by command         | 2 days  |
instead of seeing the result in Shell, so that the information is stored in a desired file.                  |         |
_____________________________________________________________________________________________________________|_________|
As a user, I can store all contents returned by command into a new file instead of seeing the result in      | 1 days  |
Shell, so that the information is stored in a desired file.                                                  |         |
_____________________________________________________________________________________________________________|_________|

 


